name,lat,lon,cluster,source,max_abs
base_prat-730a-chl-uhslc,-62.483,-59.633,161,uhslc,0.5179341761547399
batemans_bay_princess_jetty-216410-aus-bom,-35.7049,150.1779,256,bom,0.6060349744873368
bath-bath-nld-rws,51.3991,4.21,1112,rws,3.018303898323048
batiscan-3345-can-meds,46.5,-72.25,897,meds,1.6343762335101355
bay_waveland_yacht_club-8747437-usa-noaa,30.325,-89.325,1086,noaa,2.714623725612898
bayonne_boucau-94-fra-refmar,43.5273,-1.5148,513,refmar,0.9197682920032496
bayonneboucau_60minute-bay-fra-cmems,43.5273,-1.5154,513,cmems,0.9202368663376476
beaufort-8656483-usa-noaa,34.72,-76.67,821,noaa,1.4597464912128275
beauharnois_amont-15260-can-meds,45.3,-73.93,627,meds,1.0857672181307338
beauharnois_aval-15262-can-meds,45.32,-73.92,421,meds,0.8139595771381308
becancour-3353-can-meds,46.4,-72.38,823,meds,1.4632633869868144
beihai-636a-chn-uhslc,21.483,109.083,775,uhslc,1.3558924948726174
beldon_landing-bdl-usa-cdwr,38.1869,-121.9708,1123,cdwr,3.294224402652688
bella_bella_bc-8976-can-meds,52.16,-128.14,446,meds,0.8407868574581288
belum-1263-deu-wsv,53.8228,9.0371,1146,wsv,3.943120037952948
benoa-163a-idn-uhslc,-8.745,115.21,510,uhslc,0.9164571344985664
bergen-bgo-nor-nhs,60.398,5.3205,660,nhs,1.1265906899765803
bergen_point_west_reach-8519483-usa-noaa,40.6391,-74.1463,1059,noaa,2.466732759949717
bergse_diepsluis_west-bergsdswt-nld-rws,51.5113,4.1657,1070,rws,2.5809747920529187
bermagui-219470-aus-bom,-36.4263,150.0715,328,bom,0.701034524053978
bermuda-259a-gbr-uhslc,32.373,-64.703,174,uhslc,0.5304497049576306
bermuda-259b-gbr-uhslc,32.373,-64.703,174,uhslc,0.5375736019073265
bermuda-2695540-usa-noaa,32.3733,-64.7033,174,noaa,0.555184500123829
berwick-8764044-usa-noaa,29.6675,-91.2376,799,noaa,1.4082222337224748
bhv_alter_leuchtturm-4098-deu-wsv,53.545,8.5682,1150,wsv,4.026441237874487
bilbao-bil-esp-cmems,43.357,-3.05,846,cmems,1.510299759595242
bintulu-387a-mys-uhslc,3.217,113.067,236,uhslc,0.5855852680524831
bishops_head-8571421-usa-noaa,38.2204,-76.0387,477,noaa,0.8739639245722071
bjorn-2067-swe-smhi,60.6333,17.9667,497,smhi,0.9008068911055948
bjorn-bjo-swe-cmems,60.6333,17.9667,497,cmems,0.9008068911061158
blacklock_ne1-bll-usa-cdwr,38.1801,-121.9069,1109,cdwr,2.9844860992485818
bluff-072a-nzl-uhslc,-46.6,168.35,286,uhslc,0.6529304980216055
bob_hall_pier-8775870-usa-noaa,27.5808,-97.2164,649,noaa,1.6196077753372464
bodo-boo-nor-nhs,67.2923,14.3998,686,nhs,1.1861272965387395
bonanza-bon-esp-cmems,36.8,-6.34,419,cmems,0.8117826895857017
booby_island-336a-aus-uhslc,-10.603,141.91,528,uhslc,0.9406122493080382
booby_island-58230-aus-bom,-10.6026,141.9101,528,bom,1.9133475362770855
borkum_fischerbalje-bor-deu-bfg,53.5574,6.7478,1106,bfg,2.939353318796069
boston-8443970-usa-noaa,42.3548,-71.0534,769,noaa,1.348923078304597
boston_ma-741a-usa-uhslc,42.355,-71.052,769,uhslc,1.3498369928227696
botany_bay-60390-aus-bom,-33.9684,151.2204,125,bom,0.4674932115066853
bournemouth-bou-gbr-bodc,50.7143,-1.8749,579,bodc,1.0176757912951242
bournemouth-bou-gbr-cmems,50.7136,-1.8747,579,cmems,1.2006469979000212
boutiliers_point-482-can-meds,44.65,-63.95,958,meds,1.8099813329608263
bowen-59320-aus-bom,-20.025,148.25,653,bom,1.1168434174367108
brake-4096-deu-wsv,53.2953,8.4853,1142,wsv,3.872173444361741
bremer_bay-bbbre01-aus-bom,-34.4248,119.3987,145,bom,0.49884811099823
bremervorde-71-deu-wsv,53.4841,9.1548,961,wsv,1.8146474979415368
breskens-bresks-nld-rws,51.3991,3.5646,998,rws,2.0972690875284443
brest-3-fra-refmar,48.3829,-4.495,862,refmar,1.6413726759625908
