name,lat,lon,cluster,source,country,max_abs
bournemouth-bou-gbr-bodc,50.7143,-1.8749,579,bodc,gbr,1.0176757912951242
pisco-683b-per-uhslc,-13.417,-76.133,580,uhslc,per,1.018768734749047
helsinki_kaivopuisto-132310-fin-fmi,60.15,24.96,581,fmi,fin,1.0202447816495008
darwin-168a-aus-uhslc,-12.472,130.847,582,uhslc,aus,1.0208262316661176
le_crouesty-185-fra-refmar,47.5427,-2.8952,583,refmar,fra,1.022838107166318
ocean_city_inlet-8570283-usa-noaa,38.3283,-75.0911,584,noaa,usa,1.0265753362041838
kristiansund-ksu-nor-nhs,63.1139,7.7344,585,nhs,nor,1.0323737788290928
paldiski-pal-est-cmems,59.3349,24.0796,586,cmems,est,1.032623430789414
kiptopeke-8632200-usa-noaa,37.1652,-75.9884,587,noaa,usa,1.034722534938494
point_atkinson_bc-7795-can-meds,49.34,-123.25,588,meds,can,1.0364121029444848
nishinoomote-363a-jpn-uhslc,30.735,130.992,589,uhslc,jpn,1.0366739697540666
ferrol-fer-esp-cmems,43.463,-8.326,590,cmems,esp,1.0374773245629434
tregde-804a-nor-uhslc,58.0,7.567,591,uhslc,nor,1.0378722669953309
miyazakiko-0113-jpn-jodc_pahb,31.9028,131.4564,592,jodc_pahb,jpn,1.0401432510880897
king_cove-9459881-usa-noaa,55.0599,-162.3261,593,noaa,usa,1.0415637332318812
kobenhavn-kob-dnk-cmems,55.7,12.6,594,cmems,dnk,1.0419844272275427
vieste-vie-ita-ispra,41.8881,16.177,595,ispra,ita,1.0427518477330435
yorktown_uscg_training_center-8637689-usa-noaa,37.2265,-76.4788,596,noaa,usa,1.0433168022324817
pietarsaari_leppaluoto-134250-fin-fmi,63.71,22.69,597,fmi,fin,1.0436162533718478
sakatako-0102-jpn-jodc_pahb,38.9175,139.8236,598,jodc_pahb,jpn,1.0448968937041336
wick-wic-gbr-bodc,58.441,-3.0864,599,bodc,gbr,1.0467180233627404
point_reyes-9415020-usa-noaa,37.9942,-122.9736,600,noaa,usa,1.0504700188535705
exmouth-62435-aus-bom,-21.9549,114.1409,601,bom,aus,1.0507731456832512
newlyn-new-gbr-bodc,50.103,-5.5427,602,bodc,gbr,1.051227801521044
fort_myers-8725520-usa-noaa,26.648,-81.871,603,noaa,usa,1.051959517850112
ratan-2056-swe-smhi,63.9861,20.895,604,smhi,swe,1.0522503056031591
kagoshima-ma42-jpn-jodc_jma,31.5925,130.5647,605,jodc_jma,jpn,1.0534768323231254
sault_ste_marie_ontario-10980-can-meds,46.51,-84.37,606,meds,can,1.0537402953692223
korsor-kor-dnk-cmems,55.3333,11.1333,607,cmems,dnk,1.0564287115470168
durban-181a-zaf-uhslc,-29.867,31.05,608,uhslc,zaf,1.0571037476397915
lewisetta-8635750-usa-noaa,37.9953,-76.4647,609,noaa,usa,1.0578101927713055
clump_point-59168-aus-bom,-17.8515,146.1053,610,bom,aus,1.0591979762901842
sainte_anne_de_bellevue-16005-can-meds,45.4,-73.96,611,meds,can,1.0608911691394576
virginia_key-8723214-usa-noaa,25.7317,-80.1617,612,noaa,usa,1.0610343819764565
mossel_bay-185a-zaf-uhslc,-34.183,22.133,613,uhslc,zaf,1.0611275056141325
taranaki-076a-nzl-uhslc,-39.05,174.033,614,uhslc,nzl,1.0619914199724154
oga-gs14-jpn-jodc_giaj,39.9422,139.7033,615,jodc_giaj,jpn,1.0637564233959569
ullapool-ull-gbr-bodc,57.8952,-5.1581,616,bodc,gbr,1.0638577403947913
astoria-9439040-usa-noaa,46.2073,-123.7683,617,noaa,usa,1.064790419226806
alesund-aes-nor-nhs,62.4694,6.1519,618,nhs,nor,1.0702946776192088
furuogrund-2055-swe-smhi,64.9158,21.2306,619,smhi,swe,1.0781205967455725
maisaka-356a-jpn-uhslc,34.683,137.617,620,uhslc,jpn,1.078225928179038
killybegs_port-kil-irl-mi_c,54.6364,-8.3949,621,mi_c,irl,1.0803231875858426
ensenada-317a-mex-uhslc,31.85,-116.633,622,uhslc,mex,1.0803546042106251
kuchinotsu-ma48-jpn-jodc_jma,32.6053,130.1953,623,jodc_jma,jpn,1.0811365366487895
galveston_bay_entrance-8771341-usa-noaa,29.3573,-94.7248,624,noaa,usa,1.0831134179064787
lymington-lym-gbr-cco,50.7403,-1.5071,625,cco,gbr,1.084386058433494
melville_bay_gove_harbour-63480-aus-bom,-12.2067,136.6717,626,bom,aus,1.084608666123983
beauharnois_amont-15260-can-meds,45.3,-73.93,627,meds,can,1.0857672181307338
harrington_harbour-2550-can-meds,50.5,-59.48,628,meds,can,1.0917062452668016
manila-370a-phl-uhslc,14.585,120.968,629,uhslc,phl,1.0918752963137806
moji-hd17-jpn-jodc_jcg,33.9569,130.9614,630,jodc_jcg,jpn,1.0919241130617152
